('<BOS>',)的频次-----86924
('兴发水泥有限公司',)的频次-----1
('琉璃河水泥厂',)的频次-----5
('月报',)的频次-----2
('北京市律师协会劳动法专业委员会',)的频次-----1
('姜俊禄',)的频次-----1
('北京兴发水泥有限公司',)的频次-----2
('北京琉璃河水泥厂新线分厂',)的频次-----1
('建筑公司',)的频次-----2
('房山区人民法院',)的频次-----2
('北京市房山城乡建筑企业集团总公司',)的频次-----1
('２３１５００元',)的频次-----1
('北京新达律师事务所',)的频次-----1
('朱自强',)的频次-----1
('哭诉',)的频次-----3
('劳动争议仲裁委员会',)的频次-----2
('仲裁委员会',)的频次-----2
('３５元',)的频次-----1
('定兴县',)的频次-----1
('北京市房山城乡建筑企业集团总公司第十一工程公司',)的频次-----1
('北京国际体育发展中心',)的频次-----1
('常江',)的频次-----4
('苏州东吴律师事务所',)的频次-----1
('沈同仙',)的频次-----1
('开封县',)的频次-----8
('开封市',)的频次-----1
('杨文生',)的频次-----1
('２８５个',)的频次-----1
('２９２０户',)的频次-----1
('县工商局',)的频次-----1
('６７处',)的频次-----1
('４５０人次',)的频次-----1
('３０多起',)的频次-----1
('县城管委',)的频次-----1
('早７时',)的频次-----1
('１１００多盏',)的频次-----1
('２０多万株',)的频次-----1
('３·３万平方米',)的频次-----1
('２·３平方公里',)的频次-----2
('祥符大道',)的频次-----1
('１０多条',)的频次-----1
('１９９５—２０１０年',)的频次-----1
('开封县委',)的频次-----1
('小商小贩',)的频次-----1
('一条半',)的频次-----1
('校务',)的频次-----2
('６元',)的频次-----1
('１．４５元',)的频次-----1
('临猗县',)的频次-----2
('临猗县委',)的频次-----1
('假肢',)的频次-----4
('荣军休（疗）养院',)的频次-----1
('翟启运',)的频次-----2
('中国社会福利有奖募捐委员会',)的频次-----1
('８０００万元人民币',)的频次-----1
('明年国庆节',)的频次-----1
('姜大明',)的频次-----6
('２０至３５岁',)的频次-----1
('就便',)的频次-----2
('５０００万人次',)的频次-----1
('５０００支',)的频次-----1
('胡春华',)的频次-----1
('１亿人次',)的频次-----1
('５万多项',)的频次-----1
('５２００项',)的频次-----1
('共青团中央书记处',)的频次-----1
('周强',)的频次-----2
('一百八十',)的频次-----1
('十一起',)的频次-----1
('八起',)的频次-----1
('一百一十九个',)的频次-----1
('二千多件',)的频次-----1
('四百多克',)的频次-----1
('灰飞烟灭',)的频次-----1
('高明市',)的频次-----1
('一百多种',)的频次-----1
('自动化中心',)的频次-----1
('潍坊华光集团',)的频次-----2
('倾心尽力',)的频次-----1
('三万多个',)的频次-----1
('一点五万名',)的频次-----1
('五百家',)的频次-----2
('东营军分区',)的频次-----2
('四月四日',)的频次-----1
('九百二十八件',)的频次-----1
('迷途',)的频次-----1
('二十六面',)的频次-----1
('九十八封',)的频次-----1
('湛河区国税局',)的频次-----1
('平顶山市湛河区国税局',)的频次-----1
('湛河区',)的频次-----1
('北海银丰城市信用社',)的频次-----1
('满振英',)的频次-----1
('广西北海市银丰城市信用社',)的频次-----2
('警服',)的频次-----4
('流程图',)的频次-----1
('车辆管理所',)的频次-----1
('李选清',)的频次-----1
('４１０多名',)的频次-----1
('开封消防支队',)的频次-----1
('曾召刚',)的频次-----1
('王新建',)的频次-----1
('１．２５多万次',)的频次-----1
('顺气',)的频次-----1
('鼓气',)的频次-----1
('上浮',)的频次-----3
('省消防总队',)的频次-----1
('雷成德',)的频次-----1
('河南省消防总队',)的频次-----1
('哗众取宠',)的频次-----3
('骨子里',)的频次-----2
('铺张',)的频次-----3
('几周年',)的频次-----1
('简办',)的频次-----1
('一切从简',)的频次-----1
('返身',)的频次-----2
('钟祥市委',)的频次-----3
('鹰子咀磷矿',)的频次-----1
('１２２部',)的频次-----1
('２１部',)的频次-----1
('１６９部',)的频次-----1
('２７．３万元',)的频次-----1
('１９辆',)的频次-----1
('１１栋',)的频次-----1
('３５０１万元',)的频次-----1
('２９天',)的频次-----1
('陈永贵',)的频次-----1
('中央警卫局礼堂',)的频次-----1
('数十把',)的频次-----1
('张晓梅',)的频次-----3
('１０个年',)的频次-----1
('头里',)的频次-----1
('烧杯',)的频次-----1
('１９９４年秋天',)的频次-----1
('胃炎',)的频次-----1
('１９８６年底',)的频次-----1
('鄂托克前旗',)的频次-----1
('鄂托克前旗人武部民兵训练基地',)的频次-----1
('勤杂',)的频次-----1
('武警北京一总队五支队',)的频次-----1
('中央党校新疆班',)的频次-----1
('任人唯贤',)的频次-----2
('１１．７万',)的频次-----1
('３６．２％',)的频次-----3
('３１．３万',)的频次-----1
('４８．９％',)的频次-----1
('新疆自治区党委',)的频次-----1
('反对官僚主义斗争办公室',)的频次-----1
('８４起',)的频次-----1
('５０起',)的频次-----1
('２５００万元',)的频次-----2
('１４０起',)的频次-----1
('３５００余封',)的频次-----1
('１１００余次',)的频次-----1
('１５００余人次',)的频次-----1
('黄有泉',)的频次-----1
('张少农',)的频次-----1
('闻喜',)的频次-----1
('绛县',)的频次-----1
('２８９家',)的频次-----1
('１９５家',)的频次-----1
('９８家',)的频次-----1
('涑水河',)的频次-----2
('地区电视台',)的频次-----1
('涑水',)的频次-----1
('运城日报',)的频次-----1
('１５次',)的频次-----2
('４万余份',)的频次-----1
('反对官僚主义领导小组',)的频次-----1
('４００余名',)的频次-----1
('动真',)的频次-----1
('纪馨芳',)的频次-----1
('中共太原市委',)的频次-----1
('数千册',)的频次-----1
('锦州国税局',)的频次-----1
('辽宁省锦州市国家税务局',)的频次-----1
('驻承德解放军',)的频次-----1
('二十五万多株',)的频次-----1
('八百零一户',)的频次-----1
('百分之六十八',)的频次-----1
('独山子',)的频次-----1
('新疆独山子石化总厂',)的频次-----1
('克拉玛依市',)的频次-----1
('独山子区',)的频次-----1
('４８２７３起',)的频次-----1
('２８４８１件次',)的频次-----1
('３９５８次',)的频次-----1
('１５９人次',)的频次-----1
('１９９８年头３个月',)的频次-----1
('４５起',)的频次-----1
('３５',)的频次-----1
('郑州市公安局',)的频次-----3
('断臂',)的频次-----1
('河南省公安厅',)的频次-----1
('李承先',)的频次-----1
('今年元旦',)的频次-----2
('郑州公安局',)的频次-----1
('张金柱',)的频次-----3
('河南省郑州市公安局',)的频次-----1
('７４０多家',)的频次-----1
('公明镇',)的频次-----6
('１７．１亿元',)的频次-----1
('溜冰场',)的频次-----1
('喷水池',)的频次-----1
('红花山公园',)的频次-----1
('３．８万平方米',)的频次-----1
('５元／平方米',)的频次-----1
('乌沙村',)的频次-----2
('１５元／平方米',)的频次-----1
('８．３万立方米',)的频次-----1
('３６．５万千伏安',)的频次-----1
('３万门',)的频次-----1
('７条',)的频次-----1
('肖更民',)的频次-----3
('兴工',)的频次-----1
('麦达通',)的频次-----1
('广东省深圳市宝安区委办公室',)的频次-----1
('公明镇党委',)的频次-----1
('深圳市宝安区公明镇党委',)的频次-----1
('市委农工部',)的频次-----1
('曹楼',)的频次-----1
('“双休日”党校',)的频次-----3
('８０３',)的频次-----1
('廊坊市委',)的频次-----1
('中共河北省廊坊市委',)的频次-----1
('光荣院',)的频次-----2
('北京军区２９２医院',)的频次-----1
('密云县光荣院',)的频次-----1
('唐代华',)的频次-----1
('五任',)的频次-----1
('恭城县',)的频次-----3
('烧饭',)的频次-----1
('百头',)的频次-----1
('恭城县委',)的频次-----1
('３．２６万座',)的频次-----1
('２５．１６万亩',)的频次-----1
('甜橙',)的频次-----1
('２０００多座',)的频次-----1
('平安乡',)的频次-----1
('１９８７年底',)的频次-----1
('２４７５座',)的频次-----1
('２８３７元',)的频次-----2
('４９个',)的频次-----2
('张坤海',)的频次-----5
('萧山红十字会医院',)的频次-----1
('逃逸',)的频次-----4
('今年一月十六日',)的频次-----1
('萧山',)的频次-----1
('刮倒',)的频次-----4
('四个多月',)的频次-----1
('电台商',)的频次-----1
('车资',)的频次-----1
('六月二十三日',)的频次-----1
('四时',)的频次-----3
('陕西华懋实业公司',)的频次-----1
('韩玉刚',)的频次-----6
('孔二库',)的频次-----1
('领口',)的频次-----2
('二十多米',)的频次-----1
('港资陕西华懋实业公司',)的频次-----1
('商铭渔',)的频次-----1
('公司董事会',)的频次-----1
('咸阳市西北地勘局二一五医院',)的频次-----1
('一千二百元',)的频次-----1
('养伤',)的频次-----1
('大三巴牌坊',)的频次-----1
('妈祖阁',)的频次-----2
('葡京大酒店',)的频次-----1
('东望洋灯塔',)的频次-----1
('披红',)的频次-----2
('格兰披士',)的频次-----1
('新澳凼大桥',)的频次-----1
('５５２２．８６米',)的频次-----1
('澳门半岛',)的频次-----1
('凼仔岛',)的频次-----1
('６１００个',)的频次-----1
('超小型',)的频次-----1
('容闳',)的频次-----1
('詹天佑',)的频次-----1
('唐绍仪',)的频次-----1
('知新报',)的频次-----1
('同盟会分会',)的频次-----1
('大烟',)的频次-----1
('猪仔馆',)的频次-----1
('卖身',)的频次-----2
('１８５６年',)的频次-----2
('１８７３年',)的频次-----1
('喧宾夺主',)的频次-----1
('列强',)的频次-----11
('１８３９年７月',)的频次-----1
('两广',)的频次-----1
('邓廷桢',)的频次-----1
('莲峰庙',)的频次-----1
('正殿',)的频次-----1
('威风凛凛',)的频次-----1
('课税',)的频次-----1
('馋涎欲滴',)的频次-----1
('金银财宝',)的频次-----2
('濠镜澳',)的频次-----1
('风物',)的频次-----2
('弘治元年',)的频次-----1
('新石器晚期',)的频次-----1
('２００余幅',)的频次-----1
('诉述',)的频次-----1
('社工',)的频次-----2
('济贫',)的频次-----1
('８９万',)的频次-----1
('安老院',)的频次-----1
('同堂',)的频次-----1
('香港社会福利署',)的频次-----1
('两回事',)的频次-----1
('香港厅',)的频次-----3
('东莞环球石材集团公司',)的频次-----4
('朱新胜',)的频次-----2
('黄小常',)的频次-----4
('环球公司',)的频次-----4
('０．１毫米',)的频次-----1
('浇铸',)的频次-----1
('４８件',)的频次-----2
('后序',)的频次-----1
('工件',)的频次-----2
('罗织',)的频次-----1
('拳脚',)的频次-----1
('朱荣驹',)的频次-----2
('北大荒农垦兵团',)的频次-----1
('广州工程公司',)的频次-----1
('熊仕威',)的频次-----1
('底座',)的频次-----4
('支座',)的频次-----1
('技术部',)的频次-----1
('仿形机',)的频次-----1
('１１台',)的频次-----1
('十来天',)的频次-----1
('５毫米',)的频次-----3
('喷砂机',)的频次-----1
('四个日日夜夜',)的频次-----1
('９０度',)的频次-----3
('９５度',)的频次-----1
('８５度',)的频次-----1
('红麻',)的频次-----1
('光洁度',)的频次-----2
('８０度',)的频次-----1
('事到临头',)的频次-----1
('一丁点儿',)的频次-----1
('就位',)的频次-----1
('身手不凡',)的频次-----1
('人民大会堂工程办',)的频次-----1
('澳门厅',)的频次-----1
('弧度',)的频次-----1
('笔势',)的频次-----2
('棱',)的频次-----2
('光可鉴人',)的频次-----2
('６．６米',)的频次-----4
('南京晨光集团公司',)的频次-----1
('太原晋金公司',)的频次-----1
('圆柱',)的频次-----2
('梯形',)的频次-----1
('喷涂',)的频次-----1
('金箔',)的频次-----2
('大顺',)的频次-----2
('新翼会展中心',)的频次-----1
('如上所述',)的频次-----1
('萦怀',)的频次-----1
('两点论',)的频次-----1
('四化建设',)的频次-----1
('四个现代化',)的频次-----2
('一百几十年',)的频次-----1
('１８７起',)的频次-----1
('９５起',)的频次-----1
('１３８个',)的频次-----1
('沧州市',)的频次-----1
('新华区',)的频次-----2
('２５０起',)的频次-----1
('赃款',)的频次-----3
('１９．２万元',)的频次-----1
('聘任制',)的频次-----2
('５５名',)的频次-----1
('４９名',)的频次-----1
('哈尔滨铁路公安局',)的频次-----1
('奈曼车站派出所党支部',)的频次-----1
('５０００余元',)的频次-----1
('彰武车站派出所',)的频次-----1
('孔祥久',)的频次-----1
('王国祥',)的频次-----1
('所党支部',)的频次-----3
('铁路办',)的频次-----1
('兴城车站派出所',)的频次-----1
('养鸡场',)的频次-----3
('沟帮子镇',)的频次-----1
('车站派出所',)的频次-----1
('通辽公安处',)的频次-----1
('７７名',)的频次-----1
('沈阳铁路公安局',)的频次-----1
('盘锦市公证处',)的频次-----2
('辽河油田油建二公司',)的频次-----1
('举事',)的频次-----1
('铁笔',)的频次-----1
('一诺千金',)的频次-----1
('８０００余元',)的频次-----1
('２１５件',)的频次-----1
('１．５８亿元',)的频次-----1
('走后门',)的频次-----2
('辽宁省司法厅',)的频次-----1
('盘锦公证处',)的频次-----1
('特警队',)的频次-----1
('文建路',)的频次-----1
('流窜',)的频次-----2
('文昌',)的频次-----4
('罗绪耀',)的频次-----2
('１９９５年１月',)的频次-----4
('４７万多元',)的频次-----1
('符国师',)的频次-----1
('琼山',)的频次-----1
('琼海',)的频次-----1
('澄迈',)的频次-----1
('文昌公安局',)的频次-----1
('邝日容',)的频次-----4
('文城交警中队',)的频次-----3
('４２００多元',)的频次-----1
('夫家',)的频次-----1
('头苑镇',)的频次-----1
('青山村',)的频次-----1
('上行下效',)的频次-----1
('王廷彦',)的频次-----2
('敷衍了事',)的频次-----2
('１６８０平方米',)的频次-----1
('人犯',)的频次-----1
('打翻身仗',)的频次-----1
('文昌看守所',)的频次-----2
('２８元钱',)的频次-----1
('锦山派出所',)的频次-----2
('６００多张',)的频次-----1
('５３６天',)的频次-----1
('文昌市看守所',)的频次-----1
('１１６０天',)的频次-----1
('老黄牛',)的频次-----1
('松劲',)的频次-----2
('朱明国',)的频次-----2
('省委政法委',)的频次-----1
('套套',)的频次-----2
('韩香莲',)的频次-----1
('今年头几个月',)的频次-----1
('特行科',)的频次-----3
('王平民',)的频次-----1
('靳继全',)的频次-----1
('讲政策',)的频次-----1
('重整旗鼓',)的频次-----1
('樊新河',)的频次-----1
('孟明胜',)的频次-----1
('治安处',)的频次-----1
('西安市物资回收公司长乐坡公司',)的频次-----1
('黄泳涛',)的频次-----1
('伍云霞',)的频次-----2
('西北橡胶厂',)的频次-----1
('今年５月１４日',)的频次-----1
('西安市公安局',)的频次-----1
('刘平',)的频次-----1
('治安处特行科',)的频次-----1
('人道',)的频次-----3
('试金石',)的频次-----3
('国际红十字组织',)的频次-----1
('今年１０月１日',)的频次-----1
('中国红十字会总会',)的频次-----1
('中国红十字总会',)的频次-----1
('王旭娜',)的频次-----1
('２００毫升',)的频次-----1
('４００毫升',)的频次-----1
('择期',)的频次-----1
('适应症',)的频次-----1
('丙肝',)的频次-----2
('感染率',)的频次-----2
('徐婷',)的频次-----5
('市中心血站',)的频次-----1
('厌食',)的频次-----2
('３００毫升',)的频次-----1
('１９９７年岁末',)的频次-----1
('１５００万人次',)的频次-----1
('福州金之榕包装三厂',)的频次-----1
('游惊涛',)的频次-----1
('麻绳',)的频次-----2
('趋时',)的频次-----1
('败家',)的频次-----1
('自以为是',)的频次-----4
('圆桌面',)的频次-----1
('上工',)的频次-----1
('下工',)的频次-----1
('奶瓶',)的频次-----1
('乳名',)的频次-----1
('伯父',)的频次-----1
('庄稼地',)的频次-----2
('耪',)的频次-----3
('一斗',)的频次-----1
('三斤',)的频次-----1
('怀恋',)的频次-----1
('梅绍静',)的频次-----1
('哽塞',)的频次-----1
('雀跃',)的频次-----1
('重生',)的频次-----2
('晶亮',)的频次-----2
('市花',)的频次-----3
('市集',)的频次-----1
('繁花似锦',)的频次-----1
('学名',)的频次-----1
('羊蹄甲花',)的频次-----1
('紫色',)的频次-----5
('淡红',)的频次-----2
('争艳',)的频次-----1
('香岛',)的频次-----1
('五片',)的频次-----1
('区徽',)的频次-----1
('公函',)的频次-----1
('湾仔会展中心新翼',)的频次-----1
('一角',)的频次-----1
('壹仟圆',)的频次-----1
('渣打银行',)的频次-----1
('曳',)的频次-----1
('花蕊',)的频次-----4
('乍看',)的频次-----1
('轻歌曼舞',)的频次-----1
('蓓蕾',)的频次-----1
('浮游',)的频次-----1
('洒落',)的频次-----2
('奢求',)的频次-----1
('皱褶',)的频次-----3
('哑口无言',)的频次-----1
('山毛榉',)的频次-----1
('庇佑',)的频次-----1
('三叶虫',)的频次-----1
('喧腾',)的频次-----1
('掩体',)的频次-----1
('瓜棚',)的频次-----3
('牧童',)的频次-----1
('诅咒',)的频次-----2
('守望',)的频次-----4
('凄凄惨惨',)的频次-----1
('欢欢乐乐',)的频次-----1
('诱引',)的频次-----1
('唇齿',)的频次-----1
('和煦',)的频次-----1
('超然',)的频次-----1
('浪游',)的频次-----1
('弥散',)的频次-----1
('牵系',)的频次-----2
('颠覆',)的频次-----1
('可曾',)的频次-----2
('镂骨铭心',)的频次-----1
('海燕',)的频次-----1
('千万年',)的频次-----1
('飞鹅山',)的频次-----2
('慈云山',)的频次-----2
('黄大仙',)的频次-----1
('狮子山',)的频次-----2
('笔架山',)的频次-----2
('横列',)的频次-----1
('大显神通',)的频次-----1
('饮马',)的频次-----1
('中大学府',)的频次-----1
('吐露港',)的频次-----1
('八仙岭',)的频次-----1
('马鞍山',)的频次-----1
('木鱼峰',)的频次-----1
('铜佛',)的频次-----1
('佑新机场',)的频次-----1
('凤凰山',)的频次-----1
('金碧',)的频次-----1
('香炉峰',)的频次-----2
('太平山',)的频次-----2
('童贞',)的频次-----1
('罪人',)的频次-----2
('亮晶晶',)的频次-----1
('种族歧视',)的频次-----2
('美洲大陆',)的频次-----2
('发呆',)的频次-----2
('渔歌',)的频次-----2
('慵懒',)的频次-----4
('风俗画',)的频次-----1
('土著',)的频次-----1
('妖艳',)的频次-----1
('船帆',)的频次-----1
('渔人',)的频次-----2
('有名无实',)的频次-----2
('渔人码头',)的频次-----1
('鬼魂',)的频次-----1
('声威',)的频次-----1
('海涛',)的频次-----1
('空中走廊',)的频次-----1
('忌妒',)的频次-----1
('栅栏',)的频次-----1
('含苞待放',)的频次-----1
('加塞儿',)的频次-----1
('久等',)的频次-----1
('增补',)的频次-----2
('新界',)的频次-----1
('七点',)的频次-----1
('分秒',)的频次-----1
('旅行团',)的频次-----1
('几十分钟',)的频次-----3
('魔法',)的频次-----1
('三点整',)的频次-----1
('铁定',)的频次-----2
('纳闷',)的频次-----2
('电车',)的频次-----4
('前年１月',)的频次-----1
('计程车',)的频次-----1
('王希玲',)的频次-----2
('虞城县『文化广场』',)的频次-----1
('小生',)的频次-----3
('绞胎陶瓷',)的频次-----2
('中央工艺美术学院陶瓷艺术系',)的频次-----1
('张保军',)的频次-----1
('膨润土',)的频次-----1
('高岭土',)的频次-----1
('北京故宫博物院',)的频次-----1
('陕西博物馆',)的频次-----2
('靖康',)的频次-----1
('绞',)的频次-----4
('萧君和',)的频次-----2
('广东佛山大学',)的频次-----1
('黑龙江教育出版社',)的频次-----1
('张纯如',)的频次-----8
('铁证如山',)的频次-----1
('日本东映株式会社',)的频次-----1
('１５亿日元',)的频次-----1
('涂脂抹粉',)的频次-----1
('哗',)的频次-----2
('赝品',)的频次-----4
('娓娓',)的频次-----3
('鱼目混珠',)的频次-----1
('牛毛',)的频次-----2
('上品',)的频次-----1
('紫外光',)的频次-----1
('放射性元素',)的频次-----1
('衰变',)的频次-----1
('１０００—５００００年',)的频次-----1
('贾文忠',)的频次-----1
('作伪',)的频次-----1
('米芾',)的频次-----1
('狡狯',)的频次-----1
('千卷',)的频次-----1
('后梁',)的频次-----1
('刘彦齐',)的频次-----1
('摹本',)的频次-----2
('大凡',)的频次-----6
('史论',)的频次-----5
('体例',)的频次-----3
('从头至尾',)的频次-----2
('１．４万册',)的频次-----1
('三十来万',)的频次-----1
('吕荣斌',)的频次-----1
('遣词造句',)的频次-----1
('社科出版社',)的频次-----3
('曲高和寡',)的频次-----1
('西装革履',)的频次-----4
('中华书局',)的频次-----1
('雅俗共赏',)的频次-----5
('社科出版社发行部',)的频次-----1
('读者群',)的频次-----5
('二三千册',)的频次-----1
('５０００册',)的频次-----2
('社科版',)的频次-----1
('中国社会科学出版社',)的频次-----2
('４０００种',)的频次-----4
('折扇',)的频次-----2
('田阿桐',)的频次-----1
('裁制',)的频次-----1
('红木',)的频次-----2
('曾祖',)的频次-----1
('几辈',)的频次-----1
('意大利帝马公司',)的频次-----1
('英吉拉米公司',)的频次-----1
('５个春秋',)的频次-----1
('谦谦君子',)的频次-----1
('史凯日',)的频次-----2
('ＣｈｉｎａＢｙｔｅ',)的频次-----5
('主页',)的频次-----1
('ＳＫＹ',)的频次-----1
('ｗｗｗ．ｓｋｙ．ｃｏ．ｕｋ／ｗｏｒｌｄｃｕｐ',)的频次-----1
('世界足联',)的频次-----2
('ｗｗｗ．ｆｉｆａ．ｃｏｍ',)的频次-----1
('四通立方',)的频次-----1
('ｆｒａｎｃｅ９８．ｓｒｓｎｅｔ．ｃｏｍ',)的频次-----1
('ｗｏｒｌｄｃｕｐ９８．ｓｐｏｒｔ．ｇｏｖ．ｃｎ',)的频次-----1
('ｗｗｗ．ｗｏｒｌｄｃｕｐ９８．ｎｅｔ．ｃｎ',)的频次-----2
('ｈｉｔ',)的频次-----1
('网民',)的频次-----2
('品评',)的频次-----1
('后顾',)的频次-----1
('朱根华',)的频次-----1
('苗地',)的频次-----1
('品头论足',)的频次-----1
('ＩＴ',)的频次-----1
('ＳｐｏｒｔｓＬｉｎｅ',)的频次-----1
('ＣＢＳＳｐｏｒｔｓＬｉｎｅ',)的频次-----1
('Ｙａｈｏｏ',)的频次-----1
('官办',)的频次-----1
('商办',)的频次-----1
('ｗｗｗ．ｆｒａｎｃｅ９８．ｃｏｍ',)的频次-----2
('ｗｗｗ．ｗｏｒｌｄｃｕｐ９８．ｃｏｍ',)的频次-----1
('ＥＳＰＮ',)的频次-----1
('１０．５亿',)的频次-----1
('点击',)的频次-----1
('ＳＹＢＡＳＥ',)的频次-----1
('法国电信',)的频次-----1
('点击率',)的频次-----1
('５０００万次',)的频次-----1
('Ｗｅｂ',)的频次-----1
('３到４场',)的频次-----1
('５０万人次',)的频次-----1
('早晨５点钟',)的频次-----1
('时鲜',)的频次-----1
('大早',)的频次-----1
('三五十元',)的频次-----1
('天津钢厂',)的频次-----1
('天津造纸厂',)的频次-----1
('何庄子市场',)的频次-----1
('冬春季',)的频次-----1
('１１０万公斤',)的频次-----1
('１５０万公斤',)的频次-----1
('何庄子农产品中心批发市场',)的频次-----1
('信誓旦旦',)的频次-----2
('遥控器',)的频次-----1
('火冒三丈',)的频次-----1
('该死',)的频次-----1
('病秧子',)的频次-----1
('重物',)的频次-----2
('马多',)的频次-----6
('阿奔',)的频次-----6
('摔坏',)的频次-----2
('右腿',)的频次-----2
('茶具',)的频次-----3
('几杯',)的频次-----2
('颐指气使',)的频次-----1
('顺眼',)的频次-----1
('阎罗',)的频次-----1
('周四',)的频次-----2
('同班',)的频次-----4
('１月１４日',)的频次-----1
('２３期',)的频次-----1
('４０篇',)的频次-----1
('裁剪培训班',)的频次-----1
('１２０多名',)的频次-----1
('大阿镇',)的频次-----1
('芫峰村',)的频次-----1
('仲礼雨',)的频次-----1
('制衣厂',)的频次-----1
('８０００多人次',)的频次-----1
('信丰县务工青年协会',)的频次-----3
('郭旭光',)的频次-----2
('皮具',)的频次-----4
('２０万件',)的频次-----1
('务工青年协会',)的频次-----3
('厂址',)的频次-----1
('勤奋好学',)的频次-----2
('低档',)的频次-----1
('１９９６年春',)的频次-----2
('胆大',)的频次-----2
('６２万',)的频次-----1
('于金山',)的频次-----14
('贰',)的频次-----1
('土城镇',)的频次-----2
('第二党小组',)的频次-----1
('四十三载',)的频次-----1
('苇子沟村',)的频次-----1
('董存瑞班',)的频次-----2
('挂花',)的频次-----1
('挪窝',)的频次-----1
('爆破班',)的频次-----1
('后半晌',)的频次-----1
('隆化中学',)的频次-----1
('旱河',)的频次-----2
('六班长',)的频次-----1
('刘起',)的频次-----1
('劳苦大众',)的频次-----1
('冀热察独立二师',)的频次-----1
('曹官营',)的频次-----1
('中央军',)的频次-----1
('欺负',)的频次-----4
('１９４７年底',)的频次-----1
('八班',)的频次-----1
('半辈子',)的频次-----2
('全国人民慰问解放军代表团',)的频次-----1
('才女',)的频次-----1
('阎妮',)的频次-----1
('敦煌文艺出版社',)的频次-----1
('喜宏',)的频次-----1
('喜大狼',)的频次-----1
('黑色幽默',)的频次-----1
('远方出版社',)的频次-----1
('李中贤',)的频次-----1
('欧阳琪',)的频次-----1
('霜晨',)的频次-----1
('中国华侨出版社',)的频次-----1
('恸',)的频次-----1
('冥',)的频次-----1
('剿匪',)的频次-----2
('梨花村',)的频次-----2
('范明乐',)的频次-----1
('龙蛇',)的频次-----2
('学苑出版社',)的频次-----1
('和国才',)的频次-----1
('北京十月文艺出版社',)的频次-----1
('中国作协创联部',)的频次-----1
('《阳光》杂志',)的频次-----2
('人丁兴旺',)的频次-----1
('一千二百多行',)的频次-----1
('孙友田',)的频次-----1
('郝贵平',)的频次-----1
('路小路',)的频次-----1
('塔克拉玛干大沙漠',)的频次-----2
('中国报告文学学会',)的频次-----1
('中国作家杂志社',)的频次-----1
('石油工业出版社',)的频次-----1
('中国石油作家协会',)的频次-----1
('革命现实主义',)的频次-----2
('丁力',)的频次-----3
('五周年',)的频次-----2
('《诗探索》编辑部',)的频次-----1
('《诗宇宙》编辑部',)的频次-----1
('王宗仁',)的频次-----1
('昆仑',)的频次-----3
('任真',)的频次-----1
('王琰',)的频次-----1
('卢萍',)的频次-----1
('王宏甲',)的频次-----1
('何德来',)的频次-----1
('胡世宗',)的频次-----1
('十九小时',)的频次-----1
('陈歆耕',)的频次-----1
('下士',)的频次-----1
('徐诚',)的频次-----1
('吕永岩',)的频次-----1
('人马座',)的频次-----1
('小人物',)的频次-----3
('黄传会',)的频次-----2
('李鸣生',)的频次-----3
('徐剑',)的频次-----2
('邢军纪',)的频次-----1
('曹岩',)的频次-----1
('金辉',)的频次-----1
('长剑',)的频次-----2
('太空港',)的频次-----1
('澳星',)的频次-----2
('江永红',)的频次-----1
('淘淘',)的频次-----7
('小星',)的频次-----9
('图画课',)的频次-----1
('出神',)的频次-----1
('方格',)的频次-----1
('莽原',)的频次-----1
('周洁茹',)的频次-----1
('刘茵茵',)的频次-----1
('五十八代',)的频次-----1
('爷',)的频次-----3
('小凡',)的频次-----1
('毕淇生',)的频次-----1
('毕小凡',)的频次-----1
('中国作家',)的频次-----1
('周大新',)的频次-----1
('安玲',)的频次-----2
('天蓝色',)的频次-----1
('衣领',)的频次-----1
('冷小刚',)的频次-----1
('翩',)的频次-----1
('解放军文艺',)的频次-----1
('张慧敏',)的频次-----1
('释怀',)的频次-----1
('张春燕',)的频次-----1
('朱建信',)的频次-----1
('苍穹',)的频次-----1
('符咒',)的频次-----1
('字谜',)的频次-----1
('乖戾',)的频次-----1
('语词',)的频次-----2
('怪物',)的频次-----1
('晦涩',)的频次-----1
('冉炜君',)的频次-----1
('简宁',)的频次-----2
('扫视',)的频次-----1
('鲁莽',)的频次-----1
('纷乱',)的频次-----1
('六本',)的频次-----2
('铁马',)的频次-----2
('巴山蜀水',)的频次-----1
('裘山山',)的频次-----2
('肖平',)的频次-----2
('帕米尔高原',)的频次-----1
('杨闻宇',)的频次-----2
('穹庐',)的频次-----1
('边塞',)的频次-----5
('选材',)的频次-----4
('着意',)的频次-----4
('何继青',)的频次-----1
('徐宝琦',)的频次-----2
('雾气',)的频次-----1
('暗喻',)的频次-----2
('陶纯',)的频次-----1
('探询',)的频次-----2
('醇厚',)的频次-----3
('曲兵',)的频次-----2
('朴拙',)的频次-----1
('陈怀国',)的频次-----1
('藏拙',)的频次-----1
('习见',)的频次-----2
('如花似玉',)的频次-----2
('晏鸽',)的频次-----2
('十八公里',)的频次-----1
('王洪山',)的频次-----1
('王曼玲',)的频次-----1
('张诚',)的频次-----1
('郭继卫',)的频次-----1
('柳江南',)的频次-----1
('曹山',)的频次-----1
('少壮派',)的频次-----1
('姚程',)的频次-----1
('黄国荣',)的频次-----1
('履带',)的频次-----1
('关家庆',)的频次-----1
('考学',)的频次-----1
('龚盛辉',)的频次-----1
('俞进军',)的频次-----1
('丰实',)的频次-----1
('笼统',)的频次-----1
